model_version,base_model_version,calibration_method,split,bin_id,applicant_count,average_predicted_score,observed_default_rate,calibration_error,created_at
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,2,4613,0.017272578920634798,0.018209408194233688,0.0009368292735988902,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,3,4613,0.024504692387904068,0.023412096249729026,-0.001092596138175042,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,4,4612,0.03090745877714003,0.031222896790980052,0.0003154380138400206,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,5,4613,0.04198964004671632,0.04205506178192066,6.542173520433792e-05,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,6,4613,0.05836964824250651,0.05831346195534359,-5.618628716291818e-05,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,7,4612,0.07430554799114075,0.07588898525585429,0.0015834372647135359,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,8,4613,0.1078677216616478,0.10578799046173856,-0.0020797311999092433,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,9,4613,0.1500040406780315,0.1504443962714069,0.00044035559337540775,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,10,4613,0.2943901856470792,0.29416865380446566,-0.00022153184261353154,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,1,4612,0.007538136313057734,0.010841283607979185,0.0033031472949214503,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,2,4613,0.017090496698192258,0.017775850856275744,0.0006853541580834864,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,3,4613,0.024504692387904068,0.022978538911771082,-0.001526153476132986,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,4,4612,0.03040634182102783,0.034258456201214225,0.0038521143801863965,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,5,4613,0.04150954952553973,0.039670496423151964,-0.0018390531023877651,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,6,4613,0.05812151432485972,0.05376110990678517,-0.004360404418074552,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,7,4612,0.07333732062868413,0.0743712055507372,0.0010338849220530716,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,8,4613,0.10748904947171738,0.09993496639930631,-0.007554083072411066,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,9,4613,0.1496598348489106,0.16431823108606114,0.01465839623715054,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,10,4613,0.29814653614863323,0.28939952308692823,-0.008747013061705,2026-04-30T02:18:56Z
